Episode title,Description,Season,Episode ,Duration in minutes,Year,Director,Total stars,Total votes
The One with the Joke,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",6,12,22,2000,Gary Halvorson,8.1,2829
The One with Rachel's Sister,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",6,13,22,2000,Gary Halvorson,8.2,2950
The One Where Chandler Can't Cry,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",6,14,22,2000,Kevin Bright,8.6,2996
The One That Could Have Been,"When Rachel hears Barry and Mindy are getting divorced, the gang wonder how different their lives could have been.",6,15,30,2000,Michael Lembeck,8.5,3097
The One That Could Have Been,The gang continue to think about how different their lives could have been.,6,16,30,2000,Michael Lembeck,8.5,3037
The One with Unagi,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,6,17,22,2000,Gary Halvorson,9,4192
The One Where Ross Dates a Student,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,6,18,22,2000,Gary Halvorson,8.3,2870
The One with Joey's Fridge,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,6,19,22,2000,Ben Weiss,8.3,2920
The One with Mac and C.H.E.E.S.E.,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,6,20,22,2000,Kevin Bright,7.5,3096
The One Where Ross Meets Elizabeth's Dad,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",6,21,22,2000,Michael Lembeck,8.6,3113
The One Where Paul's the Man,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,6,22,22,2000,Gary Halvorson,9,3578
The One with the Ring,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,6,23,22,2000,Gary Halvorson,8.6,2980
The One with the Proposal,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,6,24,30,2000,Kevin Bright,8.8,3065
The One with the Proposal,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",6,25,30,2000,Kevin Bright,9.3,4186
The One with Monica's Thunder,"The gang celebrate Monica and Chandler's engagement, however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition.",7,1,22,2000,Kevin Bright,8.4,3022
The One with Rachel's Book,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",7,2,22,2000,Michael Lembeck,8.3,2817
The One with Phoebe's Cookies,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",7,3,22,2000,Gary Halvorson,8.1,2803
The One with Rachel's Assistant,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",7,4,22,2000,David Schwimmer,8.1,2930
The One with the Engagement Picture,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",7,5,22,2000,Gary Halvorson,8.1,2785
The One with the Nap Partners,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",7,6,22,2000,Gary Halvorson,8.9,3369
The One with Ross's Library Book,Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the ...                ,7,7,22,2000,David Schwimmer,8.5,2856
The One Where Chandler Doesn't Like Dogs,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",7,8,22,2000,Kevin Bright,8.2,2772
The One with All the Candy,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",7,9,22,2000,David Schwimmer,8.1,2753
The One with the Holiday Armadillo,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",7,10,22,2000,Gary Halvorson,8.5,3014
The One with All the Cheesecakes,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,7,11,22,2001,Gary Halvorson,8.6,2936
The One Where They're Up All Night,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",7,12,22,2001,Kevin Bright,8.7,2983
The One Where Rosita Dies,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,7,13,22,2001,Stephen Prime,8.4,2819
The One Where They All Turn Thirty,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,7,14,22,2001,Ben Weiss,8.6,2976
The One with Joey's New Brain,"Joey gets an opportunity to rejoin ""Days of Our Lives"" when his comatose character is implanted with the brain of a female character. Joey approaches her to get some advice on how to play ...                ",7,15,22,2001,Kevin Bright,8.4,2896
The One with the Truth About London,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",7,16,22,2001,David Schwimmer,8.7,2961
The One with the Cheap Wedding Dress,"Monica takes the other girls to an overpriced store to choose her wedding dress, briefing them as if they were in the military since bargain-hunters are far more ruthless then Rachel can ...                ",7,17,22,2001,Kevin Bright,8.4,2758
The One with Joey's Award,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel ...                ,7,18,22,2001,Gary Halvorson,8.4,2793
The One with Ross and Monica's Cousin,Joey auditions for a naked role in a big movie; Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,7,19,22,2001,Gary Halvorson,8.7,3155
The One with Rachel's Big Kiss,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,7,20,22,2001,Gary Halvorson,8.4,2894
The One with the Vows,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",7,21,22,2001,Gary Halvorson,7.5,2832
The One with Chandler's Dad,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,7,22,22,2001,Kevin Bright,8.4,2822
The One with Monica and Chandler's Wedding: Part 1,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",7,23,22,2001,Kevin Bright,8.9,3178
The One with Monica and Chandler's Wedding: Part 2,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,7,24,22,2001,Kevin Bright,9.2,3563
The One After I Do,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,8,1,22,2001,Kevin Bright,8.7,3005
The One with the Red Sweater,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",8,2,22,2001,David Schwimmer,9.1,3650
The One Where Rachel Tells...,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, ...                ",8,3,22,2001,Sheldon Epps,8.7,2858
The One with the Videotape,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",8,4,22,2001,Kevin Bright,9.3,4114
The One with Rachel's Date,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him. Rachel has a date with Kash, a co-star on ...                ",8,5,22,2001,Gary Halvorson,8.1,2703
The One with the Halloween Party,Monica and Chandler are having a costume party for Halloween. Phoebe bumps into Ursula who is getting married in a week and invites her in return for Ursula's invitation for the wedding. ...                ,8,6,22,2001,Gary Halvorson,8.5,3009
The One with the Stain,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe.",8,7,22,2001,Kevin Bright,7.9,2766
The One with the Stripper,"Chandler finds out that Monica had a bachelorette party with a stripper, even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with ...                ",8,8,22,2001,David Schwimmer,8.8,3082
The One with the Rumor,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",8,9,22,2001,Gary Halvorson,9.3,5291
The One with Monica's Boots,"Monica's expensive new boots hurt her feet, but she's determined to prove to Chandler that her purchase was worth it; Ben goes to school with Sting's son.",8,10,22,2001,Kevin Bright,8.1,2765
The One with Ross's Step Forward,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; Monica, Phoebe, and Chandler are addicted to Mrs. Pacman.",8,11,22,2001,Gary Halvorson,8,2636
The One Where Joey Dates Rachel,Phoebe gives Chandler and Monica a late wedding present: the game Ms Pac-Man. Chandler plays it all day long to be better than Monica and Phoebe. Rachel misses dressing up for romantic ...                ,8,12,22,2002,David Schwimmer,8.5,2982
The One Where Chandler Takes a Bath,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.,8,13,22,2002,Ben Weiss,8.6,2800
The One with the Secret Closet,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside.",8,14,22,2002,Kevin Bright,8.2,2654
The One with the Birthing Video,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video.",8,15,22,2002,Kevin Bright,8.4,2643
The One Where Joey Tells Rachel,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she ...                ",8,16,22,2002,Ben Weiss,8.3,2698
The One with the Tea Leaves,Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with ...                ,8,17,22,2002,Gary Halvorson,8.1,2674
The One in Massapequa,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,8,18,22,2002,Gary Halvorson,8.2,2699
The One with Joey's Interview,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",8,19,22,2002,Gary Halvorson,7.5,2804
The One with the Baby Shower,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice.",8,20,22,2002,Kevin Bright,8.2,2714
The One with the Cooking Class,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",8,21,22,2002,Gary Halvorson,8.2,2690
The One Where Rachel Is Late,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,8,22,22,2002,Gary Halvorson,8.3,2662
The One Where Rachel Has a Baby: Part 1,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - ...                ",8,23,22,2002,Kevin Bright,8.8,2906
The One Where Rachel Has a Baby: Part 2,"After Rachel gives birth to her baby, she must confront relationship issues around her.",8,24,22,2002,Kevin Bright,8.9,3150
The One Where No One Proposes,Rachel thinks that Joey has proposed to her. Monica and Chandler begin trying to have a baby.,9,1,22,2002,Kevin Bright,8.6,2939
The One Where Emma Cries,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",9,2,22,2002,Sheldon Epps,8.5,2957
The One with the Pediatrician,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",9,3,22,2002,Roger Christiansen,8.2,2733
The One with the Sharks,Monica thinks Chandler is aroused by shark documentaries.,9,4,22,2002,Ben Weiss,8.2,2764
The One with Phoebe's Birthday Dinner,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",9,5,22,2002,David Schwimmer,8.5,2799
The One with the Male Nanny,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",9,6,22,2002,Kevin Bright,8.4,2961
The One with Ross's Inappropriate Song,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",9,7,22,2002,Gary Halvorson,8.7,2971
The One with Rachel's Other Sister,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,9,8,22,2002,Kevin Bright,8.8,3273
The One with Rachel's Phone Number,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",9,9,22,2002,Ben Weiss,8.2,2702
The One with Christmas in Tulsa,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",9,10,22,2002,Kevin Bright,7.5,2804
The One Where Rachel Goes Back to Work,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",9,11,22,2003,Gary Halvorson,8,2601
The One with Phoebe's Rats,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,9,12,24,2003,Ben Weiss,8,2688
The One Where Monica Sings,A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,9,13,22,2003,Gary Halvorson,8.2,2715
The One with the Blind Dates,Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,9,14,24,2003,Gary Halvorson,8.2,2642
The One with the Mugging,"Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as advertising writer.",9,15,24,2003,Gary Halvorson,8.3,2670
The One with the Boob Job,"When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting...                ",9,16,27,2003,Gary Halvorson,8.2,2588
The One with the Memorial Service,"When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college. Joey is not willing to give his ...                ",9,17,26,2003,Gary Halvorson,8.5,2713
The One with the Lottery,"Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler.",9,18,23,2003,Gary Halvorson,8.6,2792
The One with Rachel's Dream,"Joey is insecure now his Days of Our Lives character Dr. Drake Ramore is getting real dialog, so he asks Rachel to come along to the set, which she loves enough to get romantic dreams, but ...                ",9,19,22,2003,Terry Hughes,8.1,2616
The One with the Soap Opera Party,Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,9,20,22,2003,Sheldon Epps,8.2,2715
The One with the Fertility Test,"Still unable to conceive, Monica and Chandler decide to get tests done at a fertility clinic, where they run into Chandler's favorite ex, Janice. Rachel receives a gift certificate for a ...                ",9,21,22,2003,Gary Halvorson,8.2,2557
The One with the Donor,"When Joey hears that his girlfriend Charlie is an insecure shopper, he volunteers expert Rachel, who dreads being alone with her, so she makes sure Phoebe comes along, by saying she needs a...                ",9,22,22,2003,Ben Weiss,7.8,2635
The One in Barbados,"Chandler gives advice to David, but that makes David want to propose to Phoebe. Although Phoebe is still in love with Mike. Monica calls Mike who shows up there right in the middle of ...                ",9,23,22,2003,Kevin Bright,8.5,2845
The One in Barbados,"To the other friends' fury, it keeps raining except during Ross's speech, which to their amazement is a big hit with the paleontologists. Joey's scientific ignorance decides Charlie to turn...                ",9,24,22,2003,Kevin Bright,8.6,2844
The One After Joey and Rachel Kiss,Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,10,1,22,2003,Kevin Bright,8.5,3223
The One Where Ross Is Fine,Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,10,2,22,2003,Ben Weiss,8.8,3366
The One with Ross's Tan,Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,10,3,22,2003,Gary Halvorson,8.8,3657
The One with the Cake,"On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.",10,4,22,2003,Gary Halvorson,8.3,2825
The One Where Rachel's Sister Babysits,Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,10,5,22,2003,Roger Christiansen,8.2,2812
The One with Ross' Grant,Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,10,6,22,2003,Ben Weiss,8.2,2853
The One with the Home Study,Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,10,7,22,2003,Kevin Bright,8.3,2716
The One with the Late Thanksgiving,"Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.",10,8,22,2003,Gary Halvorson,8.9,3210
The One with the Birth Mother,"After Rachel confirms Joey is more mature in relationships, Phoebe presents him to another friend as date, Sarah, who fails alas to respect his primordial rule by touching food in his plate...                ",10,9,22,2004,David Schwimmer,8.6,2860
The One Where Chandler Gets Caught,Chandler and Monica have decided they want to raise their offspring in a suburban house and even find a perfect one in Westchester. Rachel and Phoebe see Chandler enter a car with his ...                ,10,10,22,2004,Gary Halvorson,8,2818
The One Where the Stripper Cries,Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,10,11,22,2004,Kevin Bright,9,3684
The One with Phoebe's Wedding,Chaos ensues as Phoebe and Mike prepare to get married.,10,12,22,2004,Kevin Bright,8.9,3161
The One Where Joey Speaks French,Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.,10,13,22,2004,Gary Halvorson,8.5,3214
The One with Princess Consuela,"When Phoebe goes to get her name changed she realizes she can change it to anything she wants, so she changes it to Princess Consuela Banana Hammock, to Mike's displeasure. Chandler finds ...                ",10,14,22,2004,Gary Halvorson,8.6,2989
The One Where Estelle Dies,"Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice.",10,15,22,2004,Gary Halvorson,8.5,2771
The One with Rachel's Going Away Party,"The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually.",10,16,22,2004,Gary Halvorson,8.9,3181
The Last One: Part 1,"Erica gives birth to the baby that Monica and Chandler are adopting. However, there's one small added surprise. Meanwhile, Ross and Rachel sleep together one last time before Rachel leaves ...                ",10,17,30,2004,Kevin Bright,9.5,6221
The Last One: Part 2,"Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present.",10,18,30,2004,Kevin Bright,9.7,11389
