Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X6,2016,North America,Red,Hybrid,Manual,4.9,89371,103517,7598,High
7 Series,2021,North America,Red,Petrol,Manual,2.7,74791,57871,5582,Low
M3,2017,Europe,Silver,Hybrid,Manual,2.9,48104,51036,7198,High
X1,2013,North America,Silver,Hybrid,Automatic,4.0,37195,60471,6518,Low
X5,2021,Middle East,Red,Diesel,Automatic,3.5,79702,66266,8762,High
X3,2012,Middle East,Blue,Diesel,Automatic,3.3,156573,96170,272,Low
M5,2010,Middle East,Blue,Petrol,Manual,3.5,136535,53846,182,Low
X1,2021,South America,Red,Electric,Automatic,3.5,94057,82429,2174,Low
X1,2018,South America,White,Petrol,Automatic,4.2,183820,66071,7358,High
X5,2019,South America,Red,Electric,Automatic,3.8,20563,96155,3731,Low
X3,2015,South America,Silver,Diesel,Manual,4.9,151826,67511,6767,Low
i3,2015,North America,White,Hybrid,Manual,4.8,125887,105714,9699,High
i8,2018,Europe,Black,Petrol,Automatic,3.0,13187,106130,7708,High
7 Series,2010,North America,Silver,Diesel,Automatic,1.6,8217,58584,4090,Low
i8,2015,Europe,Black,Electric,Manual,1.5,170257,87296,9937,High
X1,2021,Middle East,Silver,Petrol,Manual,1.9,170154,39803,8405,High
X3,2014,Europe,Blue,Hybrid,Manual,1.8,118206,46203,6690,Low
X6,2022,South America,Black,Hybrid,Manual,2.8,145191,80121,8364,High
7 Series,2020,Asia,White,Petrol,Automatic,1.7,13334,54642,6049,Low
X1,2024,South America,Red,Hybrid,Manual,3.7,3402,87246,6552,Low
i3,2015,Africa,Silver,Petrol,Automatic,2.2,76602,53691,2938,Low
3 Series,2023,Asia,Black,Electric,Manual,3.3,95621,53949,7954,High
3 Series,2020,Europe,Red,Hybrid,Automatic,1.9,103658,100504,8415,High
M5,2017,North America,White,Petrol,Automatic,4.4,27620,115472,4340,Low
i8,2014,South America,Blue,Electric,Automatic,4.2,62563,81880,433,Low
M5,2011,Middle East,Blue,Petrol,Manual,2.9,64263,38875,5873,Low
7 Series,2021,Europe,Black,Diesel,Manual,4.7,19799,35961,1656,Low
i8,2021,Europe,Black,Petrol,Automatic,2.1,38378,107613,5395,Low
X1,2011,Middle East,Red,Diesel,Automatic,4.3,72969,31590,6011,Low
7 Series,2019,Africa,Blue,Hybrid,Manual,3.4,10218,102134,6665,Low
3 Series,2014,Middle East,Silver,Diesel,Automatic,2.7,151186,80297,6271,Low
X3,2012,North America,Black,Hybrid,Manual,1.8,30871,59682,2143,Low
i8,2019,Europe,Black,Diesel,Automatic,2.1,111732,107784,3809,Low
M5,2012,Asia,Silver,Hybrid,Automatic,4.5,119456,77901,6697,Low
3 Series,2017,Africa,Blue,Hybrid,Manual,3.6,146279,77147,4601,Low
X6,2016,Europe,Silver,Petrol,Automatic,2.3,183684,85746,796,Low
X5,2010,Africa,Blue,Petrol,Manual,3.2,22116,55725,1166,Low
3 Series,2021,Middle East,White,Petrol,Manual,1.9,73902,68337,5858,Low
7 Series,2022,North America,Grey,Petrol,Manual,1.8,95350,115931,2514,Low
5 Series,2021,Africa,Blue,Electric,Automatic,4.7,166973,85356,7040,High
M3,2014,Middle East,Blue,Petrol,Automatic,3.1,44876,85285,2159,Low
X5,2018,Middle East,Silver,Hybrid,Manual,2.8,54281,89426,1725,Low
M3,2013,Middle East,Red,Diesel,Automatic,4.8,166055,49874,368,Low
3 Series,2010,North America,Blue,Electric,Manual,2.9,37901,81378,4540,Low
3 Series,2017,South America,Blue,Hybrid,Automatic,2.7,197308,86496,4300,Low
5 Series,2014,Middle East,White,Petrol,Automatic,2.5,21194,30198,3858,Low
i3,2011,South America,Red,Petrol,Automatic,3.5,4863,43296,2882,Low
3 Series,2024,North America,Grey,Diesel,Manual,3.5,97965,119385,4322,Low
5 Series,2021,Europe,Black,Diesel,Manual,1.6,165897,32581,8557,High
3 Series,2010,Middle East,White,Petrol,Manual,3.8,62830,77925,3551,Low
3 Series,2023,Middle East,Grey,Hybrid,Manual,4.3,54317,109724,2496,Low
7 Series,2021,Africa,Grey,Petrol,Manual,3.7,158440,93818,3674,Low
X1,2021,Europe,Grey,Electric,Manual,4.5,149853,110317,7402,High
M3,2021,Asia,Black,Diesel,Manual,2.5,7915,85487,6913,Low
7 Series,2012,Africa,Black,Hybrid,Manual,2.2,68749,47791,6415,Low
M3,2018,Africa,Red,Diesel,Automatic,3.9,98077,31169,8500,High
X6,2010,Middle East,Black,Diesel,Automatic,2.2,132611,40905,7401,High
M3,2013,North America,Black,Petrol,Manual,1.8,55078,88274,2258,Low
7 Series,2017,Africa,White,Hybrid,Manual,1.8,134018,40492,2597,Low
X3,2017,Middle East,Black,Diesel,Manual,4.2,174903,89526,2571,Low
M5,2019,North America,Black,Petrol,Automatic,1.6,189204,89782,4310,Low
3 Series,2021,Europe,Blue,Petrol,Manual,2.5,148117,111416,6026,Low
X6,2020,Asia,Red,Diesel,Manual,2.0,136259,65572,9656,High
3 Series,2022,Middle East,Red,Diesel,Automatic,4.1,193302,68922,2646,Low
7 Series,2020,South America,Blue,Electric,Automatic,3.3,9464,92218,4427,Low
M5,2017,South America,Black,Hybrid,Automatic,2.2,159107,52490,2181,Low
X5,2019,North America,Blue,Petrol,Manual,4.1,190462,74816,9727,High
M3,2017,Europe,Silver,Electric,Manual,4.1,7237,81939,1137,Low
3 Series,2013,Africa,Grey,Hybrid,Automatic,3.3,18853,68956,762,Low
i3,2017,Europe,Silver,Electric,Automatic,2.5,100794,83044,9718,High
M5,2018,Europe,Silver,Diesel,Automatic,3.6,141881,42590,4869,Low
7 Series,2016,Middle East,White,Diesel,Manual,4.8,132832,66491,9761,High
X6,2023,Asia,Blue,Petrol,Automatic,1.7,20900,83011,6917,Low
X3,2021,Asia,Grey,Diesel,Manual,2.4,150497,73549,2517,Low
X3,2011,Europe,Silver,Hybrid,Manual,2.5,180185,112619,9288,High
i3,2018,Europe,Blue,Electric,Automatic,3.7,22804,99675,9487,High
X1,2020,Africa,White,Electric,Manual,3.8,169680,88616,6739,Low
7 Series,2017,Europe,Silver,Petrol,Automatic,2.2,115310,43709,3810,Low
i8,2022,Asia,Grey,Diesel,Automatic,2.3,99453,77226,9250,High
X5,2014,Asia,Silver,Hybrid,Automatic,4.7,58359,78777,3970,Low
3 Series,2024,Asia,Grey,Petrol,Automatic,4.1,162299,92690,209,Low
M5,2021,South America,Grey,Petrol,Manual,4.8,48495,103083,7362,High
i8,2012,Asia,White,Hybrid,Automatic,4.4,138311,78520,9725,High
X6,2016,Middle East,White,Petrol,Automatic,2.9,143430,51048,645,Low
X6,2023,Europe,Blue,Electric,Manual,1.9,30912,102522,2691,Low
7 Series,2023,Middle East,White,Hybrid,Automatic,3.7,74242,55350,277,Low
M5,2024,Europe,Grey,Electric,Manual,2.7,109045,39351,9892,High
3 Series,2011,North America,Grey,Petrol,Manual,3.0,9765,68230,2622,Low
3 Series,2022,Asia,White,Electric,Manual,3.0,53093,76022,8643,High
3 Series,2012,South America,Blue,Hybrid,Manual,4.8,166174,52428,2403,Low
i3,2021,South America,Red,Diesel,Manual,1.7,34119,116386,3319,Low
X1,2018,Europe,Grey,Electric,Manual,2.2,16408,48761,4913,Low
X1,2013,Africa,Red,Diesel,Automatic,3.6,170779,80769,1122,Low
M5,2013,North America,Black,Diesel,Automatic,4.6,29174,98016,4448,Low
X6,2012,Africa,White,Electric,Automatic,4.7,131544,107101,7968,High
X1,2014,Asia,White,Petrol,Manual,3.5,45308,93675,4507,Low
i3,2012,South America,Black,Hybrid,Automatic,1.6,85327,42946,2350,Low
3 Series,2018,Africa,Blue,Hybrid,Manual,2.8,56441,51785,8914,High
i8,2024,Africa,Grey,Diesel,Automatic,4.7,112572,74515,9577,High
i8,2012,North America,Black,Hybrid,Manual,3.2,184706,88746,8898,High
7 Series,2011,South America,Blue,Diesel,Automatic,4.0,95082,85814,3783,Low
i8,2021,Africa,White,Hybrid,Manual,2.4,9263,104646,292,Low
M5,2014,South America,Grey,Hybrid,Manual,1.6,119652,41770,3656,Low
M3,2015,Africa,Black,Diesel,Automatic,3.5,149133,87158,415,Low
M3,2010,Africa,Grey,Diesel,Automatic,4.4,41129,90534,8044,High
7 Series,2023,Middle East,Grey,Hybrid,Automatic,5.0,74358,72244,5502,Low
X1,2021,South America,Black,Diesel,Manual,4.5,128688,59037,4767,Low
i3,2020,Europe,Silver,Hybrid,Manual,3.4,65191,79360,2129,Low
i8,2015,Middle East,Black,Diesel,Manual,3.6,119745,114255,6130,Low
7 Series,2019,North America,Silver,Hybrid,Automatic,4.4,69372,66544,5266,Low
3 Series,2012,Africa,Silver,Electric,Automatic,1.6,96170,98209,1857,Low
X6,2013,Africa,White,Petrol,Automatic,4.8,163006,107310,171,Low
X5,2015,South America,Silver,Electric,Manual,3.4,53478,80235,2235,Low
7 Series,2017,North America,Red,Diesel,Manual,4.8,4042,43766,2561,Low
5 Series,2024,South America,Grey,Petrol,Automatic,4.2,115034,75775,4598,Low
5 Series,2018,Asia,White,Petrol,Manual,2.0,12949,52128,5083,Low
M3,2015,Asia,Red,Petrol,Manual,2.1,15693,103310,4402,Low
X1,2016,Asia,Silver,Diesel,Manual,2.7,11574,60564,7375,High
i8,2024,Europe,White,Electric,Manual,2.4,77624,47058,5477,Low
X3,2023,South America,White,Petrol,Automatic,3.0,165303,35473,272,Low
7 Series,2014,South America,Silver,Diesel,Automatic,3.6,87974,36798,7549,High
X3,2023,Asia,Silver,Petrol,Manual,3.0,117121,54891,5267,Low
i3,2021,North America,Silver,Diesel,Manual,1.7,135325,72217,1772,Low
X6,2024,Europe,White,Hybrid,Manual,4.9,140572,60289,6822,Low
M5,2018,Africa,Blue,Electric,Manual,3.0,141926,65429,7180,High
M5,2013,Middle East,Blue,Hybrid,Manual,4.5,2938,104718,3887,Low
M3,2019,Africa,Black,Electric,Automatic,1.8,83953,115477,7036,High
X1,2020,Asia,Blue,Diesel,Automatic,4.3,55807,92476,2937,Low
i8,2015,Europe,Grey,Electric,Automatic,2.1,11603,48163,2224,Low
X1,2014,Africa,Grey,Diesel,Manual,3.9,180831,43001,2526,Low
i8,2010,Asia,Red,Diesel,Manual,3.8,190917,108582,8705,High
M3,2014,South America,Black,Petrol,Automatic,4.7,194002,87721,3807,Low
5 Series,2022,South America,Silver,Electric,Manual,2.6,164687,99537,1413,Low
X1,2014,South America,Black,Electric,Manual,1.9,107469,119007,8213,High
M3,2023,South America,Silver,Diesel,Manual,4.5,77833,31723,1085,Low
i8,2018,South America,Blue,Electric,Manual,2.7,27020,74727,4511,Low
X3,2010,Africa,Black,Electric,Manual,2.3,16735,63505,8679,High
X6,2024,South America,Black,Diesel,Automatic,3.2,24797,113404,5567,Low
X3,2014,North America,Black,Hybrid,Automatic,2.0,94405,119695,7012,High
X3,2024,Asia,White,Hybrid,Manual,2.5,45516,36472,8306,High
i8,2016,Africa,Grey,Electric,Manual,2.8,190,32273,3812,Low
X1,2020,North America,Grey,Diesel,Manual,2.5,89041,41827,6826,Low
X5,2015,Africa,White,Hybrid,Automatic,3.1,160593,69967,1975,Low
M5,2015,Africa,Blue,Hybrid,Automatic,2.8,51926,85870,4868,Low
i8,2021,Asia,Grey,Hybrid,Automatic,4.2,127203,93680,8193,High
i3,2016,South America,Black,Electric,Manual,4.7,13488,47449,8380,High
X1,2015,South America,Red,Diesel,Automatic,1.9,30104,73439,7809,High
M5,2014,Africa,Grey,Diesel,Automatic,4.4,103947,60032,7482,High
X1,2019,South America,Red,Hybrid,Automatic,4.8,190203,88723,9183,High
i8,2014,Europe,Red,Electric,Manual,3.9,23721,47778,3313,Low
3 Series,2018,South America,Grey,Petrol,Automatic,5.0,103323,62042,1686,Low
X6,2023,South America,Black,Hybrid,Automatic,2.7,131070,103288,5935,Low
X6,2017,Middle East,Black,Diesel,Automatic,4.4,28469,40173,8388,High
i8,2023,Europe,Grey,Petrol,Automatic,3.9,9562,63921,379,Low
7 Series,2021,Europe,Blue,Electric,Manual,2.6,144332,47661,367,Low
M5,2024,Africa,Black,Petrol,Manual,4.0,186831,51146,6925,Low
X3,2019,South America,Grey,Electric,Automatic,3.3,87827,77351,3904,Low
M5,2023,Europe,Silver,Hybrid,Automatic,2.2,95994,52597,9221,High
3 Series,2013,North America,Black,Electric,Manual,2.1,85280,64944,4850,Low
X3,2013,Africa,Red,Petrol,Manual,4.0,57030,43265,2892,Low
X5,2019,South America,Grey,Electric,Manual,4.0,98531,67179,3799,Low
M3,2014,North America,Black,Petrol,Automatic,3.4,26091,54421,3397,Low
X3,2022,Middle East,Black,Electric,Manual,3.3,194952,31458,4127,Low
X3,2022,South America,Silver,Hybrid,Manual,2.1,131187,80816,531,Low
5 Series,2012,South America,Black,Diesel,Automatic,3.0,39256,107495,4085,Low
X6,2024,North America,Black,Diesel,Automatic,4.5,31008,95837,8208,High
X5,2017,Africa,Black,Petrol,Manual,4.5,27177,31920,5428,Low
i8,2016,Middle East,Grey,Diesel,Automatic,3.8,145262,43885,4894,Low
5 Series,2014,Africa,Red,Electric,Automatic,5.0,109395,48814,6971,Low
X1,2019,Africa,Red,Petrol,Automatic,4.6,174305,89258,3345,Low
X1,2012,Asia,Silver,Hybrid,Automatic,2.0,117050,51499,2079,Low
X3,2024,Middle East,White,Hybrid,Automatic,2.9,18421,37056,9840,High
X1,2014,North America,White,Electric,Automatic,2.0,122554,99640,8421,High
5 Series,2012,North America,Silver,Petrol,Manual,3.1,191000,58202,7337,High
5 Series,2019,Asia,White,Electric,Manual,4.2,194155,61782,5245,Low
i8,2014,Middle East,Blue,Petrol,Automatic,2.0,78798,74552,7037,High
M5,2010,Middle East,Red,Hybrid,Manual,4.6,49562,48954,2909,Low
5 Series,2015,Africa,Red,Diesel,Manual,3.5,195057,58938,4206,Low
7 Series,2019,North America,Red,Petrol,Manual,4.1,88544,109330,8540,High
7 Series,2013,North America,White,Hybrid,Manual,1.7,116958,109495,4333,Low
i8,2013,Europe,Black,Diesel,Manual,1.8,177806,105189,1675,Low
5 Series,2017,Africa,Blue,Petrol,Manual,3.7,22604,102900,5681,Low
X6,2011,North America,Blue,Diesel,Manual,4.4,15312,39572,1656,Low
M5,2013,North America,Black,Electric,Manual,4.6,129233,78985,6898,Low
3 Series,2024,Middle East,Red,Electric,Automatic,3.9,140639,51921,6270,Low
i8,2011,South America,White,Petrol,Manual,2.2,67019,94859,1060,Low
M3,2010,North America,White,Petrol,Automatic,2.2,78904,43773,4000,Low
3 Series,2019,Africa,Red,Electric,Automatic,4.6,55040,115777,9355,High
X1,2022,South America,Black,Petrol,Automatic,1.9,198343,52466,3347,Low
i3,2022,Europe,White,Petrol,Automatic,3.9,28715,85544,9018,High
i3,2012,Asia,Black,Hybrid,Automatic,3.4,125680,112586,776,Low
X1,2021,Asia,Red,Hybrid,Automatic,3.0,195560,49846,1751,Low
i8,2017,Asia,Red,Electric,Manual,3.0,30969,84398,4234,Low
i8,2015,Africa,White,Electric,Manual,4.8,15181,72153,6650,Low
5 Series,2021,Europe,White,Hybrid,Manual,4.5,77903,79642,9042,High
i3,2016,North America,Red,Electric,Automatic,4.5,86577,87119,1607,Low
X5,2011,North America,Red,Hybrid,Automatic,2.9,26386,50292,1616,Low
X6,2015,Middle East,White,Hybrid,Automatic,1.9,11454,106033,5036,Low
5 Series,2023,North America,Grey,Hybrid,Automatic,5.0,189662,45942,6607,Low
5 Series,2017,South America,Grey,Hybrid,Automatic,2.0,170468,118705,6098,Low
i3,2017,Europe,White,Diesel,Automatic,3.3,50321,98578,7370,High
X6,2013,South America,Silver,Petrol,Manual,2.4,105613,74876,6090,Low
X3,2015,Asia,Red,Petrol,Manual,3.3,72343,78261,403,Low
5 Series,2023,North America,Silver,Petrol,Manual,2.6,187709,41204,2608,Low
M3,2014,Asia,Red,Electric,Manual,4.6,164417,102426,3772,Low
7 Series,2018,Europe,Red,Diesel,Automatic,4.9,90061,73146,5538,Low
X5,2017,North America,White,Hybrid,Manual,2.9,43703,94174,7212,High
i8,2011,South America,White,Electric,Automatic,1.7,134400,96628,2581,Low
7 Series,2021,Asia,Grey,Hybrid,Manual,3.8,180852,71159,8803,High
M5,2022,North America,Silver,Hybrid,Automatic,2.8,60942,90378,4696,Low
7 Series,2016,Middle East,Red,Hybrid,Manual,5.0,70520,55777,9595,High
M5,2016,North America,Grey,Petrol,Automatic,1.8,14727,44057,1724,Low
X1,2020,North America,Blue,Petrol,Manual,1.9,152476,46269,9216,High
5 Series,2023,North America,Grey,Electric,Manual,3.9,47610,74290,8217,High
3 Series,2023,South America,Blue,Hybrid,Manual,4.2,174825,58448,5087,Low
i3,2021,Middle East,Silver,Hybrid,Manual,3.1,125784,53076,7287,High
M3,2010,Middle East,White,Diesel,Manual,2.5,52034,91537,2881,Low
X1,2010,Europe,Silver,Electric,Automatic,2.6,192497,101961,4342,Low
X5,2021,Europe,Black,Petrol,Manual,2.7,19418,74159,9485,High
X3,2013,Asia,Red,Diesel,Manual,2.3,192151,30395,2954,Low
7 Series,2014,Africa,Black,Electric,Manual,4.5,187159,79737,2304,Low
7 Series,2024,North America,Black,Diesel,Automatic,1.7,159847,105818,5946,Low
3 Series,2013,Europe,Grey,Petrol,Manual,2.9,129154,84810,9861,High
X5,2016,Africa,Grey,Petrol,Automatic,4.1,36288,33940,936,Low
3 Series,2012,South America,Blue,Electric,Automatic,1.5,74296,84400,6584,Low
i3,2016,North America,Red,Diesel,Manual,4.6,189766,36161,5337,Low
3 Series,2022,Africa,White,Petrol,Automatic,4.0,163605,46622,3796,Low
X6,2017,South America,White,Hybrid,Automatic,1.8,135798,111094,4614,Low
i8,2015,Middle East,Grey,Petrol,Automatic,4.6,143733,90741,9570,High
5 Series,2015,Asia,Silver,Diesel,Manual,3.2,38339,50316,8583,High
7 Series,2017,Europe,Black,Diesel,Automatic,3.8,125009,56884,2659,Low
5 Series,2017,Africa,Silver,Electric,Manual,4.6,132490,99742,9171,High
7 Series,2016,Africa,Grey,Petrol,Automatic,4.6,62176,96290,5140,Low
5 Series,2015,Middle East,Blue,Hybrid,Automatic,2.9,4202,46047,6020,Low
M3,2015,Asia,Black,Diesel,Manual,2.3,1640,79988,7821,High
M3,2019,Africa,Red,Petrol,Automatic,2.4,6721,117668,8368,High
M5,2020,North America,Silver,Petrol,Automatic,4.2,66997,43428,8366,High
7 Series,2022,Asia,Grey,Diesel,Manual,4.8,198647,32489,1376,Low
M5,2022,North America,Grey,Electric,Manual,1.8,173576,86186,1856,Low
X3,2015,North America,Grey,Hybrid,Automatic,1.6,122387,93619,9688,High
X1,2017,Middle East,Red,Hybrid,Manual,4.4,29293,45044,5243,Low
X5,2010,Middle East,Blue,Petrol,Manual,2.9,84744,113464,7746,High
3 Series,2014,North America,Blue,Petrol,Manual,2.5,191164,57591,5525,Low
i3,2012,Asia,Silver,Electric,Automatic,2.2,181134,41822,2980,Low
X5,2021,Europe,Black,Diesel,Automatic,2.7,197180,93945,7511,High
X3,2017,Asia,Grey,Petrol,Automatic,4.9,174843,100737,5959,Low
7 Series,2020,Middle East,Grey,Diesel,Manual,4.9,88041,45732,7680,High
M5,2015,North America,Blue,Hybrid,Automatic,2.7,172961,103971,7566,High
5 Series,2023,Europe,Silver,Petrol,Manual,4.9,165503,77754,8199,High
5 Series,2011,Europe,Silver,Diesel,Automatic,2.5,123627,90500,5730,Low
X1,2024,Africa,Blue,Diesel,Manual,4.5,177813,86010,6480,Low
3 Series,2022,Europe,Grey,Diesel,Manual,2.2,144563,48973,4335,Low
X5,2016,Africa,Red,Diesel,Automatic,4.4,95203,117517,1087,Low
5 Series,2016,South America,Red,Electric,Manual,2.7,32588,35680,1665,Low
X5,2022,North America,Red,Petrol,Manual,2.2,15869,86679,7448,High
7 Series,2014,Europe,Grey,Diesel,Manual,4.8,7337,92482,6272,Low
7 Series,2017,North America,Black,Petrol,Manual,2.2,164365,99866,8475,High
M3,2023,Middle East,White,Petrol,Automatic,5.0,98940,97454,3125,Low
7 Series,2014,South America,White,Diesel,Automatic,1.9,132713,31800,3369,Low
X1,2010,Middle East,Red,Electric,Manual,1.5,123626,84040,6639,Low
3 Series,2018,South America,Grey,Electric,Automatic,4.5,185358,49496,6022,Low
i8,2013,South America,White,Hybrid,Automatic,3.6,40992,30515,4171,Low
X3,2022,South America,White,Hybrid,Automatic,3.0,148866,112637,9047,High
M3,2011,South America,Silver,Hybrid,Automatic,1.8,194822,33110,9881,High
7 Series,2013,Middle East,Black,Petrol,Automatic,3.5,92461,33421,7393,High
M5,2023,Middle East,Red,Hybrid,Automatic,2.9,42024,102692,3368,Low
M5,2022,North America,Silver,Electric,Manual,3.2,122099,111430,9815,High
X6,2018,North America,Silver,Diesel,Automatic,3.7,169012,91231,1706,Low
M5,2011,North America,White,Electric,Automatic,3.7,33335,85717,1921,Low
i3,2013,Asia,Silver,Hybrid,Automatic,4.9,33860,48391,6011,Low
X5,2011,North America,Black,Electric,Automatic,3.8,34276,101536,2447,Low
X5,2014,South America,Blue,Hybrid,Manual,2.7,80129,74014,2353,Low
X6,2012,Middle East,Black,Diesel,Manual,2.7,197625,54930,3165,Low
M3,2019,Middle East,Blue,Hybrid,Automatic,3.2,150833,83962,5333,Low
M3,2011,Europe,Red,Petrol,Manual,2.4,16508,33332,1754,Low
X6,2023,Middle East,Blue,Electric,Automatic,2.8,185088,74609,6889,Low
X1,2018,Africa,Grey,Petrol,Manual,4.4,109161,58078,3597,Low
X1,2014,Africa,Blue,Petrol,Manual,4.5,9591,40964,9673,High
X1,2019,Europe,Red,Petrol,Automatic,3.7,55161,113276,8029,High
X3,2014,Asia,Blue,Hybrid,Manual,3.5,167993,60290,5983,Low
5 Series,2010,Asia,White,Hybrid,Manual,3.0,94265,55733,1157,Low
X5,2015,Africa,Blue,Petrol,Manual,3.7,156814,50076,5924,Low
5 Series,2022,Middle East,Grey,Diesel,Manual,4.3,106769,111581,6280,Low
5 Series,2016,Europe,Blue,Diesel,Automatic,4.1,130982,68654,8799,High
X5,2010,Europe,Blue,Electric,Manual,1.6,85694,110534,5068,Low
5 Series,2018,Africa,Red,Electric,Automatic,4.1,169159,103238,2483,Low
M5,2017,Asia,White,Electric,Automatic,4.0,20349,76440,3674,Low
X6,2021,South America,Grey,Hybrid,Automatic,1.8,90793,110893,5345,Low
X1,2023,Asia,Blue,Hybrid,Manual,2.0,156224,111387,5111,Low
i3,2023,Africa,Blue,Hybrid,Automatic,4.3,192837,68275,276,Low
X6,2017,North America,Red,Hybrid,Automatic,3.5,82678,45995,1980,Low
X6,2016,Europe,Silver,Hybrid,Manual,4.4,171053,104604,3911,Low
M3,2014,Middle East,Blue,Electric,Manual,2.1,167055,108772,411,Low
X3,2012,Middle East,Grey,Hybrid,Manual,1.6,108300,79180,6313,Low
3 Series,2024,Africa,White,Petrol,Manual,2.1,51077,34504,8012,High
3 Series,2021,Europe,Silver,Electric,Automatic,3.1,77158,94630,9867,High
7 Series,2023,Africa,Black,Hybrid,Manual,3.3,134259,103345,2721,Low
X3,2018,Asia,Black,Electric,Manual,4.5,155036,55122,4364,Low
X6,2023,Asia,Grey,Hybrid,Manual,4.0,5249,98058,6347,Low
X6,2016,Africa,Red,Electric,Manual,5.0,85367,113539,4109,Low
5 Series,2020,Europe,Grey,Diesel,Manual,1.8,121136,85550,3148,Low
i8,2019,Africa,Grey,Diesel,Automatic,2.0,150339,118687,6856,Low
X5,2019,North America,Grey,Hybrid,Manual,1.8,45907,73955,4819,Low
M5,2017,Africa,White,Diesel,Manual,3.4,184368,72086,6724,Low
X3,2023,Middle East,Black,Diesel,Manual,2.4,194695,52634,756,Low
M5,2015,Europe,Silver,Petrol,Manual,3.9,14517,82503,9050,High
i3,2021,Middle East,Blue,Hybrid,Manual,2.0,141187,79094,9837,High
i8,2023,South America,Black,Hybrid,Automatic,1.9,62070,108709,8449,High
X5,2020,Africa,Black,Hybrid,Automatic,3.1,44520,59785,912,Low
7 Series,2023,Asia,Black,Hybrid,Manual,2.8,147302,101025,3111,Low
3 Series,2014,Africa,White,Electric,Manual,4.4,82464,86279,367,Low
M3,2024,Europe,Black,Petrol,Automatic,4.4,121353,43792,9506,High
7 Series,2017,North America,Silver,Petrol,Manual,1.9,161596,65785,5824,Low
i3,2012,Asia,Silver,Electric,Automatic,4.3,101990,75791,8250,High
i3,2021,Europe,Black,Hybrid,Manual,3.5,185310,112171,5336,Low
M3,2022,Europe,Grey,Petrol,Automatic,3.3,98156,51359,657,Low
X6,2022,North America,White,Diesel,Automatic,1.8,84686,41028,8823,High
i8,2016,Africa,Red,Electric,Automatic,4.1,137395,85021,3597,Low
3 Series,2011,Africa,White,Diesel,Manual,1.7,26982,71301,3549,Low
5 Series,2012,South America,White,Diesel,Automatic,2.5,38963,91480,6003,Low
X6,2024,North America,Blue,Petrol,Automatic,1.8,5203,97201,8440,High
i3,2022,Africa,White,Diesel,Automatic,3.4,20511,61716,7167,High
X6,2021,Asia,Silver,Electric,Automatic,3.8,136575,102419,1525,Low
X3,2024,Asia,Grey,Hybrid,Automatic,4.6,69043,116342,5561,Low
i8,2011,Africa,Silver,Petrol,Manual,4.1,185625,80009,192,Low
i8,2014,South America,Grey,Hybrid,Manual,4.9,36262,45116,4987,Low
M3,2016,Europe,Black,Electric,Automatic,4.2,114577,107352,6015,Low
M5,2020,North America,White,Petrol,Automatic,2.5,127210,42688,5357,Low
7 Series,2019,South America,Silver,Diesel,Automatic,3.4,12349,53945,9741,High
X6,2020,South America,Black,Diesel,Automatic,3.1,1921,94012,5004,Low
X6,2020,North America,Black,Hybrid,Manual,3.5,13730,80453,8420,High
i3,2020,North America,Blue,Petrol,Manual,3.5,57952,95249,6708,Low
M3,2024,South America,Blue,Petrol,Manual,4.0,178287,91064,7041,High
3 Series,2019,Middle East,White,Electric,Automatic,1.8,183309,116473,8262,High
7 Series,2024,Europe,Grey,Petrol,Automatic,4.1,191624,33256,2996,Low
X3,2024,Africa,Silver,Electric,Automatic,2.0,20486,94034,7881,High
M5,2024,Africa,Blue,Hybrid,Manual,1.6,105494,52261,5649,Low
5 Series,2022,South America,White,Petrol,Automatic,3.3,88376,91386,3744,Low
5 Series,2023,Middle East,Red,Diesel,Automatic,3.5,157126,57140,7903,High
3 Series,2010,North America,White,Petrol,Manual,1.6,1216,67870,1441,Low
5 Series,2022,South America,Red,Petrol,Automatic,3.3,12085,95704,6564,Low
M3,2019,North America,White,Hybrid,Automatic,3.4,15277,74219,9971,High
i3,2018,Asia,White,Hybrid,Manual,1.7,130791,40505,2312,Low
i8,2010,Middle East,Black,Petrol,Manual,4.0,29026,87485,9431,High
7 Series,2010,South America,Black,Electric,Automatic,2.2,157221,31872,3690,Low
i8,2023,Africa,Grey,Electric,Automatic,4.3,24366,65890,1228,Low
X5,2024,South America,Grey,Diesel,Automatic,2.6,86259,44549,4811,Low
X1,2021,North America,Blue,Diesel,Automatic,3.2,95854,111793,9032,High
3 Series,2019,Middle East,Grey,Electric,Automatic,4.6,43015,73860,1885,Low
X3,2017,South America,White,Hybrid,Automatic,4.3,111634,65118,4203,Low
X1,2015,Middle East,White,Petrol,Automatic,4.2,164804,78120,9973,High
3 Series,2015,North America,White,Petrol,Manual,2.1,49068,102020,3456,Low
3 Series,2021,Middle East,White,Electric,Manual,1.7,53247,43715,3889,Low
X5,2018,North America,Grey,Hybrid,Automatic,3.6,53711,35139,2367,Low
7 Series,2024,Africa,Silver,Diesel,Manual,2.9,72966,69385,9199,High
M3,2013,Africa,Silver,Petrol,Manual,4.7,165908,101721,1295,Low
M3,2017,South America,Red,Petrol,Automatic,2.7,24619,65032,3560,Low
M5,2013,Middle East,Grey,Hybrid,Manual,2.9,101656,86456,5026,Low
